ID,FACILITY NAME,LICENSEE,COMPANY,ADDRESS,,latitude,longitude,CITY,POSTAL CODE,PROVINCE,COUNTRY,LHIN,TYPE,HOSPITAL,CLASS,Total,A,B,C,D,Upgraded D,New,Long Stay,Convalescent Care,Respite,ELDCAP,Veterans' Priority Access,Beds in Abeyance (BIA),Designated Specialized Unit,Other,Interim,LS License Expiry,Up for Redev.,MANAGED BY
NH1259,STONERIDGE MANOR,Revera Long Term Care Inc.,Revera,256 High Street,"34.9230103, -81.91956979999999",34.92301,-81.91957,Carleton Place,K7C 1X1,Ontario,Canada,Champlain,For-Profit,,C,60,,,60,,,,60,,,,,,,,,6/30/2025,Yes,
H11240,NORTH LAMBTON LODGE,The Corporation Of The County Of Lambton,County of Lambton,39 Morris Street,,,,Forest,N0N 1J0,Ontario,Canada,Erie St. Clair,Municipal,,A,88,88,,,,,,88,,,,,,,,,Municipal,,
NH4436,EXTENDICARE TECUMSEH,Extendicare (Canada) Inc.,Extendicare,2475 St. Alphonse Street,,,,Tecumseh,N8N 2X2,Ontario,Canada,Erie St. Clair,For-Profit,,A,128,128,,,,,,128,,,,,,,,,6/30/2030,,
NH2842,EXTENDICARE SOUTHWOOD LAKES,Extendicare (Canada) Inc.,Extendicare,1255 North Talbot Road,,,,Windsor,N9G 3A4,Ontario,Canada,Erie St. Clair,For-Profit,,A,150,150,,,,,,150,,,,,,,,,6/20/2030,,
51242,FIDDICK'S NURSING HOME,Fiddicks Nursing Home Limited,Fiddicks Nursing Home Limited,437 First Avenue,,,,Petrolia,N0N 1R0,Ontario,Canada,Erie St. Clair,For-Profit,,A,129,129,,,,,,128,,1,,,,,,,Unknown,,
NH4253,FAIRFIELD PARK,"Lapointe-Fisher Nursing Home, Limited","Lapointe-Fisher Nursing Home, Limited",1934 Dufferin Avenue,,,,Wallaceburg,N8A 4M2,Ontario,Canada,Erie St. Clair,For-Profit,,A,99,99,,,,,,96,,,,3,,,,,6/30/2030,,
HF4637,RIVERVIEW GARDENS,The Corporation Of The Municipality Of Chatham-Kent,Municipality of Chatham-Kent,519 King Street West,,,,Chatham,N7M 1G8,Ontario,Canada,Erie St. Clair,Municipal,,A,320,320,,,,,,317,,3,,,,,,,Municipal,,
NH1088,RIVERSIDE PLACE,Revera Long Term Care Inc.,Revera,3181 Meadowbrook Lane,,,,Windsor,N8T 0A4,Ontario,Canada,Erie St. Clair,For-Profit,,A,96,96,,,,,,96,,,,,,,,,3/2/2032,,
NH1066,ILER LODGE,Revera Long Term Care Inc.,Revera,111 Iler Avenue,,,,Essex,N8M 1T6,Ontario,Canada,Erie St. Clair,For-Profit,,A,104,104,,,,,,104,,,,,,,,,6/30/2030,,
51065,RICHMOND TERRACE,Richmond Terrace Ltd.,Richmond Terrace Ltd.,89 Rankin Avenue,,,,Amherstburg,N9V 1E7,Ontario,Canada,Erie St. Clair,For-Profit,,A,128,128,,,,,,126,,2,,,,,,,Unknown,,Apans Health Services
H23591,FOYER RICHELIEU WELLAND,Foyer Richelieu Welland,Foyer Richelieu Welland,655 Tanguay Avenue,,,,Welland,L3B 6A1,Ontario,Canada,HNHB,Not-For-Profit,,B,62,,62,,,,,62,,,,,,,,3,6/30/2025,Yes,
NH1652,CARLINGVIEW MANOR,Revera Long Term Care Inc.,Revera,2330 Carling Avenue,"45.3671044, -75.7767235",45.36710,-75.77672,Ottawa,K2B 7H1,Ontario,Canada,Champlain,For-Profit,,C,303,,,303,,,,291,12,,,,,,,,6/30/2025,Yes,
NH4791,THE VILLAGE AT ST. CLAIR,Schlegel Villages Inc.,Schlegel Villages Inc.,1800 Talbot Road,,,,Windsor,N9A 6S4,Ontario,Canada,Erie St. Clair,For-Profit,,New,256,,,,,,256,256,,,,,,,,,Unknown,,
NH4727,THE VILLAGE OF ASPEN LAKE,Schlegel Villages Inc.,Schlegel Villages Inc.,9855 McHugh Street,,,,Windsor,N8P 0A6,Ontario,Canada,Erie St. Clair,For-Profit,,A,192,192,,,,,,192,,,,,,,,,Unknown,,
NH1869c,THE PALACE,CVH (No. 6) GP Inc. as general partner of CVH (No. 4) LP,Southbridge,92 Centre Street,"41.8312053, -71.3575953",41.83121,-71.35760,Alexandria,K0C 1A0,Ontario,Canada,Champlain,For-Profit,,C,70,,,70,,,,70,,,,,,,,,6/30/2025,Yes,
NH51093,COUNTRY VILLAGE HEALTH CARE CENTRE,CVH (No. 5) LP,Southbridge,440 County Road 8,,,,Woodslee,N0R 1V0,Ontario,Canada,Erie St. Clair,For-Profit,,A,104,104,,,,,,102,,2,,,,,,,,,Extendicare Assist
NH3325,HELEN HENDERSON NURSING HOME,Gibson Family Health Care,Gibson Family Health Care,343 Amherst Drive,,,,Amherstview,K7N 1X3,Ontario,Canada,South East,For-Profit,,A / B,102,32,70,,,,,102,,,,,,,,2,6/30/2030,Yes,
NH3698c,PINECREST NURSING HOME - PLANTAGENET,CVH (No. 4) GP Inc. as general partner of CVH (No. 4) LP,Southbridge,101 Parent Street,"45.430335, -75.6946097",45.43034,-75.69461,Plantagenet,K0B 1L0,Ontario,Canada,Champlain,For-Profit,,C,60,,,60,,,,60,,,,,,,,,6/30/2025,Yes,
51692,SARSFIELD COLONIAL HOME,Taminagi Inc.,Taminagi Inc.,2861 Colonial Road,"45.4405678, -75.3471078",45.44057,-75.34711,Sarsfield,K0A 3E0,Ontario,Canada,Champlain,For-Profit,,C,46,,,46,,,,46,,,,,,,,,6/30/2025,Yes,
51783,RESIDENCE PRESCOTT ET RUSSELL,United Counties Of Prescott And Russell,United Counties Of Prescott And Russell,1020 Cartier Boulevard,"45.6002265, -74.61370339999999",45.60023,-74.61370,Hawkesbury,K6A 1W7,Ontario,Canada,Champlain,Municipal,,C,146,,,146,,,,142,,2,,2,,,,,Municipal,Yes,
NH1822,GROVE PARK HOME FOR SENIOR CITIZENS,Grove Park Home For Senior Citizens,Grove Park Home For Senior Citizens,234 Cook Street,,,,Barrie,L4M 4H5,Ontario,Canada,North Simcoe Muskoka,Not-For-Profit,,A / C / New,143,10,,62,,,71,143,,,,,,,,,10/28/2023,Yes,
NH4402,TWIN LAKES TERRACE LONG TERM CARE COMMUNITY,S & R Nursing Homes Limited,Steeves & Rozema Group,1310 Murphy Road,,,,Sarnia,N7S 6K5,Ontario,Canada,Erie St. Clair,For-Profit,,A,60,60,,,,,,60,,,,,,,,,Unknown,,
NH4424,HERON TERRACE LONG TERM CARE COMMUNITY,S & R Nursing Homes Limited,Steeves & Rozema Group,11550 McNorton Street,,,,Windsor,N8P 1T9,Ontario,Canada,Erie St. Clair,For-Profit,,A,140,140,,,,,,140,,,,,,,,,Unknown,,
NH4372,AFTON PARK PLACE LONG TERM CARE COMMUNITY,Steeves & Rozema Group,Steeves & Rozema Group,1200 Afton Drive,,,,Sarnia,N7S 6L6,Ontario,Canada,Erie St. Clair,For-Profit,,A,128,128,,,,,,128,,,,,,,,,Unknown,,
H11243,LAMBTON MEADOWVIEW VILLA,The Corporation Of The County Of Lambton,The Corporation Of The County Of Lambton,3958 Petrolia Line,,,,Petrolia,N0N 1R0,Ontario,Canada,Erie St. Clair,Municipal,,A,125,125,,,,,,125,,,,,,,,,Municipal,,
Unknown,HANOVER CARE CENTRE,Hanover Nursing Home Limited,Hanover Nursing Home Limited,700-19th Avenue,,,,Hanover,N4N 3S6,Ontario,Canada,South West,For-Profit,,B,41,,41,,,,,,,,,,,,,,6/30/2025,Yes,
53090,VALLEY MANOR NURSING HOME,Valley Manor Inc.,Valley Manor Inc.,88 Mintha Street,"45.4860666, -77.6890543",45.48607,-77.68905,Barry's Bay,K0J 1B0,Ontario,Canada,Champlain,Not-For-Profit,,C,90,,,90,,,,90,,,,,,,,,6/30/2025,Yes,
H21070,LEAMINGTON MENNONITE HOME,The Leamington United Mennonite Home And Apartments,The Leamington United Mennonite Home And Apartments,35 Pickwick Drive,,,,Leamington,N8H 4X5,Ontario,Canada,Erie St. Clair,Not-For-Profit,,A,84,84,,,,,,84,,,,,,,,,Unknown,,
Unknown,MALDEN PARK CONTINUING CARE CENTRE,Windsor Regional Hospital,Windsor Regional Hospital,1453 Prince Road,,,,Windsor,N9C 3Z4,Ontario,Canada,Erie St. Clair,Not-For-Profit,Yes,,145,,,,,,,,,,,,,,,,Unknown,,
NH4398,MAPLE PARK LODGE,1365853 Ontario Limited,1365853 Ontario Limited,6 Hagey Avenue,,,,Fort Erie,L2A 5M5,Ontario,Canada,HNHB,For-Profit,,New,96,,,,,,96,96,,,,,,,,,6/30/2035,,
HGN53631,HERITAGE GREEN NURSING HOME,Heritage Green Nursing Home,Heritage Green Nursing Home,353 Isaac Brock Drive,,,,Stoney Creek,L8J 2J3,Ontario,Canada,HNHB,Not-For-Profit,,B / New,167,,111,,,,167,167,,,,,,,,,6/30/2035,Yes,
NH4262,HILLCREST VILLAGE CARE CENTRE,Hillcrest Village Inc.,Hillcrest Village Inc.,255 Russell Street,,,,Midland,L4R 5L6,Ontario,Canada,North Simcoe Muskoka,For-Profit,,A / New,164,100,,,,,64,162,,,,2,,,,,2030,,
NH3267,CHATEAU PARK LONG TERM CARE HOME,Chateau Park Long Term Care Home,Chateau Park Long Term Care Home,2990 B Riverside Drive West,"42.308029, -83.0737709",42.30803,-83.07377,Windsor,N9C 1A2,Ontario,Canada,Erie St. Clair,For-Profit,,C,59,,,59,,,,59,,,,,,,,,6/30/2025,Yes,
H21531,"ALBRIGHT GARDENS HOMES, INCORPORATED","Albright Gardens Homes, Inc.","Albright Gardens Homes, Inc.",5050 Hillside Drive,,,,Beamsville,L0R 1B2,Ontario,Canada,HNHB,Not-For-Profit,,New,231,,,,,,231,231,,,,,,,,,6/30/2035,,
NH3424,FAITH MANOR NURSING HOME,Holland Christian Homes Inc.,Holland Christian Homes Inc.,7900 Mclaughlin Road South,,,,Brampton,L6Y 5A7,Ontario,Canada,Central West,Not-For-Profit,,B,120,,120,,,,,120,,,,,,,,,6/30/2030,Yes,
NH4403,BELLA SENIOR CARE RESIDENCES INC.,Bella Senior Care Residences Inc.,Bella Senior Care Residences Inc.,8720 Willoughby Drive,,,,Niagara Falls,L2G 7X3,Ontario,Canada,HNHB,For-Profit,,New,160,,,,,,160,160,,,,,,,,,6/30/2035,,Extendicare Assist
NH1069,FRANKLIN GARDENS LONG TERM CARE HOME,Franklin Gardens LTCH,Franklin Gardens LTCH,24 Franklin Road,"39.7707797, -86.0262515",39.77078,-86.02625,Leamington,N8H 4B7,Ontario,Canada,Erie St. Clair,For-Profit,,C,120,,,120,,,,112,8,,,,,,,,6/30/2025,Yes,
HN1556,HEIDEHOF LONG TERM CARE HOME,"Benevolent Society ""heidehof"" For The Care Of The Aged","Benevolent Society ""heidehof"" For The Care Of The Aged",600 Lake Street,,,,St. Catharines,L2N 4J4,Ontario,Canada,HNHB,Not-For-Profit,,New,106,,,,,,106,106,,,,,,,,,6/30/2035,,
NH4441,CHARTWELL BRANT CENTRE LONG TERM CARE RESIDENCE,Regency LTC Operating Limited Partnership on behalf of Regency Operator GP Inc. as General Partner,Chartwell,1182 Northshore Blvd. East,,,,Burlington,L7S 1C5,Ontario,Canada,HNHB,For-Profit,,New,175,,,,,,175,175,,,,,,,,,6/30/2035,,
H21823,IOOF SENIORS HOME,IOOF Seniors Homes Inc.,IOOF Seniors Homes Inc.,10 Brooks Street,,,,Barrie,L4N 5L3,Ontario,Canada,North Simcoe Muskoka,Not-For-Profit,,A / C,182,96,,86,,,,161,20,1,,,,,,,Unknown,Yes,
Unknown,SOUTHAMPTON CARE CENTRE,Jarlette Health Services,Jarlette,140 Grey Street,,,,Southampton,N0H 2L0,Ontario,Canada,South West,For-Profit,,A / B,88,34,54,,,,,88,,,,,,,,,6/30/2025,,
NH4464,CHARTWELL WILLOWGROVE LONG TERM CARE RESIDENCE,Regency LTC Operating Limited Partnership on behalf of Regency Operator GP Inc. as General Partner,Chartwell,1217 Old Mohawk Road,,,,Ancaster,L9K 1P6,Ontario,Canada,HNHB,For-Profit,,New,169,,,,,,169,169,,,,,,,,,6/30/2035,,
NH3244,TEMISKAMING LODGE,Jarlette Health Services,Jarlette,100 Bruce Street,,,,Haileybury,P0J 1K0,Ontario,Canada,North East,For-Profit,,B / C,82,,81,2,,,,79,,1,,2,,,,1,6/30/2025,Yes,
NH3336c,STAYNER CARE CENTRE,Stayner Care Centre Inc.,Jarlette,244 Main Street East 7308 Highway #26,,,,Stayner,L0M 1S0,Ontario,Canada,North Simcoe Muskoka,For-Profit,,B,50,,49,,,,,49,,,,,,,1,,6/30/2025,Yes,
NH1846,THE VILLA CARE CENTRE,Jarlette Health Services,Jarlette,689 Yonge Street,,,,Midland,L4R 2E1,Ontario,Canada,North Simcoe Muskoka,For-Profit,,B,109,,109,,,,,108,,1,,,,,,5,6/30/2025,Yes,
Unknown,MEADOW PARK NURSING HOME (CHATHAM),Jarlette Health Services,Jarlette,110 Sandy Street,"30.3961257, -92.2063944",30.39613,-92.20639,Chatham,N7L 4X3,Ontario,Canada,Erie St. Clair,For-Profit,,C,99,,,99,,,,99,,,,,,,,,6/30/2025,,
NH1075,BROUILLETTE MANOR,1230839 Ontario Limited,"Lapointe-Fisher Nursing Home, Limited",11900 Brouillette Court,"42.3064019, -82.8920717",42.30640,-82.89207,Tecumseh,N8N 4X8,Ontario,Canada,Erie St. Clair,For-Profit,,C,60,,,60,,,,60,,,,,,,,,6/30/2025,Yes,
H11011,JOHN NOBLE HOME,Corporation of the City of Brantford and Corporation of the County of Brant,City of Brantford and Corporation of the County of Brant,97 Mount Pleasant Street,,,,Brantford,N3T 1T5,Ontario,Canada,HNHB,Municipal,,New,156,,,,,,156,153,,,,3,,,,,Municipal,,
H11992,MACASSA  LODGE,City Of Hamilton,City Of Hamilton,701 Upper Sherman Avenue,,,,Hamilton,L8V 3M7,Ontario,Canada,HNHB,Municipal,,A,270,270,,,,,,270,,,,,,,,,Municipal,,
NH4501,MILLENNIUM TRAIL MANOR,955464 Ontario Ltd,Conmed Health Care Group,6861 Oakwood Drive,,,,Niagara Falls,L2E 6S5,Ontario,Canada,HNHB,For-Profit,,New,160,,,,,,160,160,,,,,,,,,6/30/2035,,
NH3554,REGENCY PARK LONG TERM CARE HOME,Meritas Care Corporation,Meritas Care Corporation,567 Victoria Avenue,"42.3136214, -83.0393192",42.31362,-83.03932,Windsor,N9A 4N1,Ontario,Canada,Erie St. Clair,For-Profit,,C,72,,,72,,,,72,,,,,,,,,6/30/2025,Yes,
NH4365,EXTENDICARE HAMILTON,Extendicare (Canada) Inc.,Extendicare,90 Chedmac Drive,,,,Hamilton,L9C 7S6,Ontario,Canada,HNHB,For-Profit,,New,160,,,,,,160,160,,,,,,,,,6/30/2035,,
51253,WATFORD QUALITY CARE CENTRE,QCC Corp.,QCC Corp.,344 Victoria Street,"29.8353771, -95.39552979999999",29.83538,-95.39553,Watford,N0M 2S0,Ontario,Canada,Erie St. Clair,For-Profit,,C,63,,,63,,,,62,,1,,,,,,,6/30/2025,Yes,
NH1083d,BANWELL GARDENS CARE CENTRE,Rykka Care Centres LP,Responsive Health Management Inc.,3000 Banwell Road,"42.3108746, -82.89997609999999",42.31087,-82.89998,Tecumseh,N8N 2M4,Ontario,Canada,Erie St. Clair,For-Profit,,C,142,,,142,,,,140,,2,,,,,,,6/30/2025,Yes,
NH4626,EDGEWATER GARDENS LONG TERM CARE CENTRE,Haldimand War Memorial Hospital,Haldimand War Memorial Hospital,428 Broad Street West,,,,Dunnville,N1A 1T3,Ontario,Canada,HNHB,Not-For-Profit,,New,64,,,,,,64,64,,,,,,,,,4/2/2041,,
NH1725,KING NURSING HOME,King Nursing Home Limited,King Nursing Home Limited,49 Sterne Street,,,,Bolton,L7E 1B9,Ontario,Canada,Central West,For-Profit,,B / C,86,,30,56,,,,84,,2,,,,,,,6/30/2025,Yes,
NH4432,THE HENLEY HOUSE,Henley House Limited,Primacare Living,20 Ernest Street,,,,St. Catharines,L2N 7T2,Ontario,Canada,HNHB,For-Profit,,New,160,,,,,,160,160,,,,,,,,,6/30/2035,,
NH1990,IDLEWYLD MANOR,Idlewyld Manor,Idlewyld Manor,449 Sanatorium Road,,,,Hamilton,L9C 2A7,Ontario,Canada,HNHB,Not-For-Profit,,New,192,,,,,,192,192,,,,,,,,,6/30/2035,,
NH1074c,BERKSHIRE CARE CENTRE,Rykka Care Centres LP,Responsive Health Management Inc.,350 Dougall Avenue,"42.31630819999999, -83.04161549999999",42.31631,-83.04162,Windsor,N9A 4P4,Ontario,Canada,Erie St. Clair,For-Profit,,C,231,,,231,,,,208,15,2,,,6,,,,6/30/2025,Yes,
NH4826b,ROYAL ROSE PLACE,859530 Ontario Inc.,Jarlette,635 Prince Charles Drive North,,,,Welland,L3C 0C7,Ontario,Canada,HNHB,For-Profit,,New,96,,,,,,96,96,,,,,,,,,6/27/2036,,
NH4457,REGINA GARDENS,Liuna Local 837 Nursing Home (Ancaster) Corporation,Liuna Local 837 Nursing Home (Ancaster) Corporation,536 Upper Paradise Road,,,,Hamilton,L9C 5E3,Ontario,Canada,HNHB,Not-For-Profit,,New,128,,,,,,128,128,,,,,,,,,6/30/2035,,Chartwell Seniors Housing Reit
NH4358,QUEEN'S GARDEN,Liuna Local 837 Nursing Home (Hamilton) Corporation,Liuna Local 837 Nursing Home (Hamilton) Corporation,80 Queen Street North,,,,Hamilton,L8R 3P6,Ontario,Canada,HNHB,Not-For-Profit,,New,128,,,,,,128,128,,,,,,,,,6/30/2035,,Chartwell Seniors Housing Reit
NH4488,BILLINGS COURT MANOR,Maryban Holdings Ltd,Maryban Holdings Ltd,3700 Billings Court,,,,Burlington,L7N 3N6,Ontario,Canada,HNHB,For-Profit,,New,160,,,,,,160,160,,,,,,,,,6/30/2035,,
Unknown,TABOR MANOR,Mennonite Brethren Senior Citizens Home,Mennonite Brethren Senior Citizens Home,1 Tabor Drive,,,,St Catharines,L2N 1V9,Ontario,Canada,HNHB,Not-For-Profit,,New,128,,,,,,128,128,,,,,,,,,8/11/2043,,
NH3243,BLENHEIM COMMUNITY VILLAGE,Revera Long Term Care Inc.,Revera,10 Mary Avenue,"43.0022214, -71.16590149999999",43.00222,-71.16590,Blenheim,N0P 1A0,Ontario,Canada,Erie St. Clair,For-Profit,,C,65,,,65,,,,65,,,,,,,,,6/30/2025,Yes,
NH3581,VILLAGE ON THE RIDGE,Revera Long Term Care Inc.,Revera,9 Myrtle Street,#ERROR!,#ERROR!,,Ridgetown,N0P 2C0,Ontario,Canada,Erie St. Clair,For-Profit,,C,40,,,40,,,,40,,,,,,,,,6/30/2025,Yes,
HF4591,CREEK WAY VILLAGE,The Regional Municipality Of Halton,Municipality Of Halton,5200 Corporate Drive,,,,Burlington,L7L 7G7,Ontario,Canada,HNHB,Municipal,,New,144,,,,,,144,144,,,,,,,,,Municipal,,
H11540,THE MEADOWS OF DORCHESTER,The Regional Municipality Of Niagara,Municipality Of Niagara,6623 Kalar Road,,,,Niagara Falls,L2H 2T3,Ontario,Canada,HNHB,Municipal,,New,120,,,,,,120,120,,,,,,,,1,Municipal,,
H12751,DEER PARK VILLA,The Regional Municipality Of Niagara,Municipality Of Niagara,150 Central Avenue,,,,Grimsby,L3M 4Z3,Ontario,Canada,HNHB,Municipal,,New,39,,,,,,39,39,,,,,,,,1,Municipal,,
H13902,DOUGLAS H. RAPELJE LODGE,The Regional Municipality Of Niagara,Municipality Of Niagara,277 Plymouth Road,,,,Welland,L3B 6E3,Ontario,Canada,HNHB,Municipal,,A,120,120,,,,,,117,,2,,1,,,,,Municipal,,
Unknown,BRAEMAR RETIREMENT CENTRE,Macgowan Nursing Homes Ltd.,Macgowan Nursing Homes Ltd.,719 Josephine Street North,,,,Wingham,N0G 2W0,Ontario,Canada,South West,For-Profit,,B,69,,69,,,,,,,,,,,,,,6/30/2025,Yes,
H14496,THE WOODLANDS OF SUNSET,The Regional Municipality Of Niagara,Municipality Of Niagara,920 Pelham Street,,,,Welland,L3C 1Y5,Ontario,Canada,HNHB,Municipal,,New,120,,,,,,120,120,,,,,,,,1,Municipal,,
H14442,NORTHLAND POINTE,The Regional Municipality Of Niagara,Municipality Of Niagara,2 Fielden Avenue,,,,Port Colborne,L3K 6G4,Ontario,Canada,HNHB,Municipal,,New,150,,,,,,150,150,,,,,,,,1,Municipal,,
H21558,NIAGARA INA GRAFTON GAGE VILLAGE,Niagara Ina Grafton Gage Village,Niagara Ina Grafton Gage Village,413 Linwell Road,,,,St Catharines,L2M 7Y2,Ontario,Canada,HNHB,Not-For-Profit,,A,40,40,,,,,,40,,,,,,,,,6/30/2035,,
NH4596,GARDENVIEW LONG TERM CARE HOME,Parkview Meadows Christian Retirement Village,Parkview Meadows Christian Retirement Village,72 Town Centre Drive,,,,Townsend,N0A 1S0,Ontario,Canada,HNHB,Not-For-Profit,,New,64,,,,,,64,64,,,,,,,,,12/4/2035,,
NH1191,STIRLING MANOR NURSING HOME,Manorcare Partners II,Manorcare Partners II,218 Edward Street,,,,Stirling,K0K 3E0,Ontario,Canada,South East,For-Profit,,B,75,,75,,,,,75,,,,,,,,,6/30/2025,Yes,
Unknown,CEDARWOOD VILLAGE,Maplewood Nursing Home Limited,Maplewood Nursing Home Limited,500 Queensway West,,,,Simcoe,N3Y 4R4,Ontario,Canada,HNHB,For-Profit,,B,91,,88,,,,,,,,,,,,,,6/30/2025,Yes,
Unknown,MAPLE MANOR NURSING HOME,Maplewood Nursing Home Limited,Maplewood Nursing Home Limited,73 Bidwell Street,,,,Tillsonburg,N4G 3T8,Ontario,Canada,South West,For-Profit,,B,106,,44,,,,,,,,,,,,,,6/30/2025,Yes,
NH3253,MARIANHILL NURSING HOME,Marianhill Inc.,Marianhill Inc.,600 Cecelia Street,,,,Pembroke,K8A 7Z3,Ontario,Canada,Champlain,Not-For-Profit,,B,134,,134,,,,,131,,1,,2,,,,8,6/30/2025,Yes,
NH1250,SUMAC LODGE,Revera Long Term Care Inc.,Revera,1464 Blackwell Road,"43.0102935, -82.3466725",43.01029,-82.34667,Sarnia,N7S 5M4,Ontario,Canada,Erie St. Clair,For-Profit,,C,100,,,100,,,,96,,,,,4,,,,6/30/2025,Yes,
NH54474,ARBOUR CREEK LONG-TERM CARE CENTRE,Rykka Care Centres LP,Responsive Health Management Inc.,2717 King Street East,,,,Hamilton,L8G 1J3,Ontario,Canada,HNHB,For-Profit,,New,128,,,,,,128,128,,,,,,,,1,6/30/2035,,
NH4331c,BURLOAK,"AXR Operating (National) LP, by its general partners (""AXR"")",Revera,5959 New Street,,,,Burlington,L7L 6W5,Ontario,Canada,HNHB,For-Profit,,New,144,,,,,,144,144,,,,,,,,,6/30/2035,,
NH1252,TRILLIUM VILLA NURSING HOME,S & R Nursing Homes Limited,Steeves & Rozema Group,1221 Michigan Avenue,"34.0174154, -118.4805543",34.01742,-118.48055,Sarnia,N7S 3Y3,Ontario,Canada,Erie St. Clair,For-Profit,,C,152,,,152,,,,142,10,,,,,,,,6/30/2025,Yes,
H21882,MAXVILLE MANOR,Maxville Manor,Maxville Manor,80 Mechanic Street West,,,,Maxville,K0C 1T0,Ontario,Canada,Champlain,Not-For-Profit,,A / C,122,76,,46,,,,120,,2,,,,,,,6/30/2025,Yes,
NH1236,TILBURY MANOR NURSING HOME,Tilbury Manor Nursing Home,Tilbury Manor Nursing Home,16 Fort Street,"41.6272464, -70.9012667",41.62725,-70.90127,Tilbury,N0P 2L0,Ontario,Canada,Erie St. Clair,For-Profit,,C,75,,,75,,,,73,,2,,,,,,,6/30/2025,Yes,
NH4321c,THE MEADOWS,"AXR Operating (National) LP, by its general partners (""AXR"")",Revera,12 Tranquility Avenue,,,,Ancaster,L9G 5C2,Ontario,Canada,HNHB,For-Profit,,New,128,,,,,,128,128,,,,,,,,,Unknown,,
NH3642,THE WELLINGTON NURSING HOME,Barton Retirement Inc.,Barton Retirement Inc.,1430 Upper Wellington Street,"43.2093061, -79.8795145",43.20931,-79.87951,Hamilton,L9A 5H3,Ontario,Canada,HNHB,For-Profit,,C,102,,,102,,,,102,,,,,,,,,6/30/2025,Yes,
NH1969,BAYWOODS PLACE,Revera Long Term Care Inc.,Revera,330 Main Street East,,,,Hamilton,L8N 3T9,Ontario,Canada,HNHB,For-Profit,,Upgraded D,128,,,,,128,,128,,,,,,,,,6/30/2020,Yes,
NH2009,VICTORIA GARDENS LONG TERM CARE,Mirdem Nursing Homes Ltd.,Mirdem Nursing Homes Ltd.,176 Victoria Avenue North,,,,Hamilton,L8L 5G1,Ontario,Canada,HNHB,For-Profit,,B,76,,76,,,,,76,,,,,,,,,6/30/2025,Yes,
NH4330c,RIDGEVIEW,"AXR Operating (National) LP, by its general partners (""AXR"")",Revera,385 Highland Road West,,,,Stoney Creek,L8J 3X9,Ontario,Canada,HNHB,For-Profit,,New,120,,,,,,120,120,,,,,,,,,6/30/2035,,
NH1162c,MAPLE VILLA LONG TERM CARE CENTRE,Better Life LTC Inc.,Better Life LTC Inc.,441 Maple Avenue,"40.430632, -79.8768241",40.43063,-79.87682,Burlington,L7S 1L8,Ontario,Canada,HNHB,For-Profit,,C,93,,,93,,,,93,,,,,,,,,6/30/2025,Yes,
NH2854,THE VILLAGE OF TANSLEY WOODS,Schlegel Villages,Schlegel Villages Inc.,4100 Upper Middle Road,,,,Burlington,L7M 4W8,Ontario,Canada,HNHB,For-Profit,,New,144,,,,,,144,144,,,,,,,,,6/30/2035,,
NH4313,THE VILLAGE OF WENTWORTH HEIGHTS,Schlegel Villages,Schlegel Villages Inc.,1620 Upper Wentworth Street,,,,Hamilton,L9B 2W3,Ontario,Canada,HNHB,For-Profit,,New,120,,,,,,120,120,,,,,,,,,6/30/2035,,
NH1002,FOX RIDGE CARE COMMUNITY,2063414 Ontario Limited as general partner of 2063414 Investment LP,Sienna Senior Living,389 West Street,,,,Brantford,N3R 3V9,Ontario,Canada,HNHB,For-Profit,,C / New,122,,,90,,,32,122,,,,,,,,,6/30/2025,Yes,
Unknown,IROQUOIS LODGE NURSING HOME,Six Nations Of The Grand River,Six Nations Of The Grand River,1755 Chiefswood Road,,,,Ohsweken,N0A 1M0,Ontario,Canada,HNHB,Not-For-Profit,,,50,,,,,,,,,,,,,,,,6/30/2025,,
Unknown,ST. JOSEPH'S MOTHER HOUSE (MARTHA WING),St. Joseph's Health Centre,St. Joseph's Health Centre,574 Northcliffe Avenue,,,,Dundas,L9H 7L9,Ontario,Canada,HNHB,Municipal,,,12,,,,,,,,,,,,,,,,Municipal,,
H24507,ST JOSEPH'S LIFECARE CENTRE,St. Joseph's Health System,St. Joseph's Health System,99 Wayne Gretzky Parkway,,,,Brantford,N3S 6T6,Ontario,Canada,HNHB,Not-For-Profit,,New,160,,,,,,205,205,,,,,,,,,6/30/2035,,
H21966,"ST JOSEPH'S VILLA, DUNDAS",St. Joseph's Health System,St. Joseph's Health System,56 Governor's Road,,,,Dundas,L9H 5G7,Ontario,Canada,HNHB,Not-For-Profit,,New,160,,,,,,390,380,35,8,,2,,,,,10/31/2035,,
NH4463,ST. PETER'S RESIDENCE,St. Peter's Residence,St. Peter's Residence,125 Redfern Avenue,,,,Hamilton,L9C 7W9,Ontario,Canada,HNHB,Not-For-Profit,,New,21,,,,,,210,210,,,,,,,,,6/30/2035,,
NH3620,CAMA WOODLANDS NURSING HOME,The Central Canadian District Of The Christian And Missionary Alliance In Canada,The Central Canadian District Of The Christian And Missionary Alliance In Canada,159 Panin Road,,,,Burlington,L7P 5A6,Ontario,Canada,HNHB,Not-For-Profit,,C / New,134,,,6,,,128,128,,,,,6,,,,11/24/2044,Yes,
